,OUOpen,OUClose,Total,OU2H,Total_2H,Diff,Diff_dec_idx,earning,Diff
1,184,189.5,203,95,95,5.5,5,95,5.5
2,214.5,212,213,105.5,100,-2.5,-2,-100,-2.5
3,191,199,188,99,102,8,5,-100,8
4,200,203.5,229,105,113,3.5,3,95,3.5
5,198.5,197,185,97,91,-1.5,-1,95,-1.5
6,188,186,215,94,95,-2,-2,-100,-2
7,186,184,166,91.5,78,-2,-2,95,-2
8,198,201,205,99.5,101,3,2,95,3
9,193,190.5,194,94,95,-2.5,-2,-100,-2.5
10,213,217.5,223,107.5,106,4.5,4,95,4.5
11,181,178.5,171,89.5,81,-2.5,-2,95,-2.5
12,191,193,201,98.5,95,2,1,95,2
13,223,224.5,205,112.5,92,1.5,1,-100,1.5
14,200,196.5,201,96.5,106,-3.5,-3,-100,-3.5
15,186.5,192,172,96.5,77,5.5,5,-100,5.5
16,208,205.5,186,105,92,-2.5,-2,95,-2.5
17,192,203,206,102.5,100,11,5,95,11
18,217,215.5,217,107.5,104,-1.5,-1,-100,-1.5
19,209,211,234,104.5,112,2,1,95,2
20,199,197.5,176,100.5,84,-1.5,-1,95,-1.5
21,212.5,215.5,243,105.5,132,3,2,95,3
22,192,194,193,95.5,87,2,1,-100,2
23,209.5,208,216,101.5,112,-1.5,-1,-100,-1.5
24,188.5,191,183,97,90,2.5,2,-100,2.5
25,216,214.5,181,104.5,84,-1.5,-1,95,-1.5
26,208.5,205,195,99.5,112,-3.5,-3,95,-3.5
27,202,205.5,228,106,131,3.5,3,95,3.5
28,210,207,198,101,102,-3,-3,95,-3
29,190.5,188.5,169,95,83,-2,-2,95,-2
30,213,211,231,105,105,-2,-2,-100,-2
31,190,186.5,214,93.5,108,-3.5,-3,-100,-3.5
32,185,183.5,170,91.5,93,-1.5,-1,95,-1.5
33,204,208,202,101.5,93,4,3,-100,4
34,207,205.5,222,104,110,-1.5,-1,-100,-1.5
35,186.5,191.5,201,95.5,102,5,4,95,5
36,208.5,207,201,103.5,99,-1.5,-1,95,-1.5
37,200.5,207.5,193,102,80,7,5,-100,7
38,185.5,180.5,166,88.5,89,-5,-5,95,-5
39,196,194.5,204,98,104,-1.5,-1,-100,-1.5
40,194,190,172,98,95,-4,-4,95,-4
41,184,182,190,90,94,-2,-2,-100,-2
42,213.5,216,235,108.5,117,2.5,2,95,2.5
43,198.5,201.5,214,99.5,117,3,2,95,3
44,201,195.5,207,97.5,92,-5.5,-5,-100,-5.5
45,188,186,182,94,85,-2,-2,95,-2
46,191,188.5,192,94,101,-2.5,-2,-100,-2.5
47,201,204,200,103,94,3,2,-100,3
48,194.5,192.5,184,97,88,-2,-2,95,-2
49,210.5,212,219,103,89,1.5,1,95,1.5
50,205.5,209,202,102.5,100,3.5,3,-100,3.5
